siteID,circle,survey,plantSpecies
117,1,A,White mulberry
117,1,B,Box elder
117,1,C,Box elder
117,1,D,Box elder
117,1,E,Common persimmon
117,2,A,Red maple
117,2,B,Sweet gum
117,2,C,Sweet gum
117,2,D,Sweet gum
117,2,E,Box elder
117,3,A,Devil's walkingstick
117,3,B,Carolina silverbell
117,3,C,Sweet gum
117,3,D,Bitternut hickory
117,3,E,Devil's walkingstick
117,4,A,Sweet gum
117,4,B,American hazelnut
117,4,C,Common persimmon
117,4,D,Black willow
117,4,E,Box elder
117,5,A,American bladdernut
117,5,B,Dwarf paw paw
117,5,C,Tuliptree
117,5,D,Red maple
117,5,E,Sweet gum
117,6,A,Carolina ash
117,6,B,Common persimmon
117,6,C,Fringetree
117,6,D,Common persimmon
117,6,E,Unidentified
117,7,A,Pin oak
117,7,B,Common persimmon
117,7,C,Pin oak
117,7,D,Tuliptree
117,7,E,Sweet gum
117,8,A,Chalk maple
117,8,B,Chalk maple
117,8,C,American beech
117,8,D,Slippery elm
117,8,E,Chalk maple
117,9,A,Box elder
117,9,B,Box elder
117,9,C,Common persimmon
117,9,D,Sweet gum
117,9,E,Sweet gum
117,10,A,Common persimmon
117,10,B,Black oak
117,10,C,White mulberry
117,10,D,Box elder
117,10,E,Flowering dogwood
117,11,A,Sourwood
117,11,B,Red maple
117,11,C,American sycamore
117,11,D,Common persimmon
117,11,E,Common persimmon
117,12,A,Sweet gum
117,12,B,Sweet gum
117,12,C,Hazel alder
117,12,D,Sweet gum
117,12,E,Sweet gum
8892356,1,A,Spicebush
8892356,1,B,Spicebush
8892356,1,C,Winged elm
8892356,1,D,Paw paw
8892356,1,E,Spicebush
8892356,2,A,Red oak
8892356,2,B,Spicebush
8892356,2,C,American beech
8892356,2,D,Spicebush
8892356,2,E,Spicebush
8892356,3,A,American beech
8892356,3,B,American beech
8892356,3,C,Black gum
8892356,3,D,American beech
8892356,3,E,American beech
8892356,4,A,American beech
8892356,4,B,Mapleleaf viburnum
8892356,4,C,American beech
8892356,4,D,American beech
8892356,4,E,Sugar maple
8892356,5,A,Red maple
8892356,5,B,American beech
8892356,5,C,Sourwood
8892356,5,D,Black gum
8892356,5,E,American beech
8892356,6,A,Sugar maple
8892356,6,B,American beech
8892356,6,C,American beech
8892356,6,D,Red maple
8892356,6,E,Sourwood
8892356,7,A,American beech
8892356,7,B,Spicebush
8892356,7,C,Sugar maple
8892356,7,D,Sugar maple
8892356,7,E,Sugar maple
8892356,8,A,Spicebush
8892356,8,B,Sugar maple
8892356,8,C,Spicebush
8892356,8,D,Sugar maple
8892356,8,E,Sugar maple
8892351,1,A,American hornbeam
8892351,1,B,Sweet gum
8892351,1,C,Tuliptree
8892351,1,D,Eastern redbud
8892351,1,E,Sweet gum
8892351,2,A,Red maple
8892351,2,B,American hornbeam
8892351,2,C,American hornbeam
8892351,2,D,American hornbeam
8892351,2,E,Red maple
8892351,3,A,Spicebush
8892351,3,B,Carolina silverbell
8892351,3,C,Spicebush
8892351,3,D,White oak
8892351,3,E,American holly
8892351,4,A,American hornbeam
8892351,4,B,Sweet gum
8892351,4,C,Highbush blueberry
8892351,4,D,American hornbeam
8892351,4,E,American hornbeam
8892351,5,A,Flowering dogwood
8892351,5,B,American hornbeam
8892351,5,C,American hornbeam
8892351,5,D,Sweet gum
8892351,5,E,Sweet gum
8892351,6,A,American hornbeam
8892351,6,B,American hornbeam
8892351,6,C,American hornbeam
8892351,6,D,American hornbeam
8892351,6,E,American hornbeam
8892351,7,A,American hornbeam
8892351,7,B,American hornbeam
8892351,7,C,American hornbeam
8892351,7,D,American hornbeam
8892351,7,E,American hornbeam
8892351,8,A,Sugar maple
8892351,8,B,American hornbeam
8892351,8,C,American hornbeam
8892351,8,D,Sweet gum
8892351,8,E,Sweet gum
